year,semi,msemi,ssemi
2013,15.5,48.7,5.5
2014,16.2,53,3.9
2015,17,57.7,3.6
2016,16.5,57.4,3.1
2017,21.4,60.7,3
2018,23.6,61.7,3
2019,18.4,58.4,3.2
2020,18.4,56.9,2.9
