정보원,중요도
반도체,1373
미국,952
중국,919
삼성전자,688
화웨이,575
코로나19,569
파운드리,542
삼성,483
스마트폰,404
대만,393
한국,379
가능성,359
기업들,347
인텔,305
TSMC,301
양산,228
경쟁력,221
공급망,218
부회장,206
불확실성,185
