정보원,중요도
삼성전자,210
이재용 부회장,87
겔싱어 인텔 최고경영자,86
월스트리트저널,83
재계,74
블룸버그,73
윤석열 대통령,60
조 바이든 미국 대통령,60
TSMC,57
박재근 한양대 융합전자공학부 교수,56
전문연구원,52
이승우 유진투자증권 연구원,51
안기현 한국반도체산업협회 전무,43
박재근 한국반도체디스플레이기술학회장,39
중국,35
노근창 현대차증권 리서치센터장,34
차이잉원,34
반도체업계,33
트렌드포스,33
뉴욕타임스,32
